NOM_CATEGORIA,NOM_DEST,std,mean,min,max
Quinta,Comunicaciones,62895268.32692827,96230137.0,57490411.0,168800000.0
Quinta,Cultura,423661018.9979211,168807747.68670887,12829.0,5142813953.0
Quinta,Defensa y seguridad,642683786.9777067,229600674.5612245,124037.0,5605061241.0
Quinta,Deporte y Recreación,231614750.6152306,148538475.5855856,1403.0,1733489800.0
Quinta,"Desarrollo comunitario, comercial e industrial",173864285.6478892,100942884.67307693,54054.0,1220215000.0
Quinta,Educación,2371431133.3483014,314210131.75583863,2794.0,50097420517.0
Quinta,Fortalecimiento institucional,377225087.4171241,191158439.01454544,16334.0,3468282669.0
Quinta,Funcionamiento y pensiones,340933529.5281736,105513822.73518063,1000.0,6719719155.0
Quinta,Medio ambiente,332787886.48160905,197219151.62068966,469512.0,2577191550.0
Quinta,Otros,11145638098.330587,3757432499.3130436,20531.0,166713009918.0
Quinta,Salud,4119391653.0550437,1674481220.538674,19237.0,25541984790.0
Quinta,Sector eléctrico,733622256.3220959,555617428.7833333,6500000.0,3429200002.0
Quinta,Sector minero,,51995540.0,51995540.0,51995540.0
Quinta,Servicio de la deuda,328267047.0243868,292655476.6415094,6555520.0,1763124694.0
Quinta,Transporte,545269948.5721879,313256617.47555554,3.0,4642595402.0
Quinta,Vivienda,790956188.5764682,270510674.1935484,1900000.0,6016979920.0
Segunda,Administración de justicia,976759402.4702547,380121597.24418604,590122.0,6266808199.0
Segunda,Agua potable y Saneamiento básico,2300892384.621309,954788901.402556,401155.0,23705836004.0
Segunda,Atención a desastres,1260801426.6854348,603267282.1754386,1.0,8464693808.0
Segunda,Atención a grupos vulnerables,921876529.9114151,316400721.15632755,534428.0,14632303044.0
Segunda,Ciencia y tenología,424312933.99853987,359244893.84,8340000.0,1675852578.0
Segunda,Comunicaciones,333347817.261113,304929918.0,5733000.0,1161672433.0
Segunda,Cultura,611739202.4565585,327712346.11953354,100000.0,5537740318.0
Segunda,Defensa y seguridad,1627092605.211227,754371847.1752577,383000.0,12327133131.0
Segunda,Deporte y Recreación,1132112844.815044,509050520.2346154,2131.0,14436074568.0
Segunda,"Desarrollo comunitario, comercial e industrial",871393587.996078,354437153.0181818,10058.0,7702838121.0
Segunda,Educación,25640005079.093292,4593552562.307125,1147.0,362194137112.0
Segunda,Fortalecimiento institucional,1549125414.8114913,617592399.0973872,36719.0,19057387669.0
Segunda,Funcionamiento y pensiones,2110639981.4000323,480843061.58391815,1.0,51649755179.0
Segunda,Medio ambiente,1177949332.0696282,579738808.4067796,182.0,7283759441.0
Segunda,Otros,90769190853.57166,25652008359.28257,1026.0,1180958137144.0
Segunda,Salud,11063979176.889261,2706666473.183082,4048.0,176286823865.0
Segunda,Sector eléctrico,3059109482.3600955,1947558303.4482758,520000.0,14534299812.0
Segunda,Sector minero,754179577.8256023,444031834.4347826,3360605.0,2889071614.0
Segunda,Servicio de la deuda,3567576990.2325835,2047686548.3452382,50094.0,26148479268.0
Segunda,Transporte,6555596200.806229,1616229583.2835367,722545.0,107142035500.0
Segunda,Vivienda,381332546.34736323,298854025.7702703,100000.0,1725164605.0
Sexta,Administración de justicia,101151108.8952684,64075675.155696206,1.0,1260796432.0
Sexta,Agua potable y Saneamiento básico,221007172.49570763,100872110.37703575,1.0,7999295829.0
Sexta,Atención a desastres,147672876.3814041,52919316.49257922,1.0,3115957633.0
Sexta,Atención a grupos vulnerables,124105735.16025923,56187818.286321156,1.0,3273785204.0
Sexta,Ciencia y tenología,111353123.28427593,42354007.743589744,50610.0,778318225.0
Sexta,Comunicaciones,69008335.55695072,37529949.571428575,705000.0,352618487.0
Sexta,Cultura,95872782.05739313,56831389.67713296,1.0,2797549657.0
Sexta,Defensa y seguridad,165496589.32963058,74136706.34828189,946.0,3106496141.0
Sexta,Deporte y Recreación,256392311.44443825,76619891.68534404,1.0,6160043565.0
Sexta,"Desarrollo comunitario, comercial e industrial",155683070.49778977,51865936.362265415,1.0,5082027325.0
Sexta,Educación,1186214028.0542128,137174669.78328598,1.0,62819361681.0
Sexta,Fortalecimiento institucional,236858729.80414248,92374887.26751368,1.0,11360116579.0
Sexta,Funcionamiento y pensiones,83282901.58540921,25951081.699047767,1.0,4350501481.0
Sexta,Medio ambiente,296719981.40813965,71449108.14924471,1.0,12239123501.0
Sexta,Otros,5564219274.684378,1518539223.8021612,1.0,214814359822.0
Sexta,Salud,2678083070.9695206,1003854031.5569494,1.0,41113060708.0
Sexta,Sector eléctrico,293335653.7626572,131279679.63553408,50000.0,4304374941.0
Sexta,Sector minero,46951525.13629962,50769951.0,4762164.0,158906817.0
Sexta,Servicio de la deuda,186378605.55212736,139530152.2963801,8.0,2077301129.0
Sexta,Transporte,370201426.48087233,175539480.51623437,1.0,8674058759.0
Sexta,Vivienda,170335499.91627014,91633591.86177807,1.0,2000000000.0
Tercera,Administración de justicia,121284072.10121702,156675915.4,7275000.0,436679500.0
Tercera,Agua potable y Saneamiento básico,1340131533.1686127,581268588.631285,13904.0,11312123276.0
Tercera,Atención a desastres,583294616.9010185,312182473.5925926,60.0,3928782725.0
Tercera,Atención a grupos vulnerables,746987827.3804172,341285174.1357466,185929.0,6087546603.0
Tercera,Ciencia y tenología,193092678.0860408,125273823.66666667,10000000.0,511175061.0
Tercera,Comunicaciones,230627836.7834238,203064076.25,1871000.0,705776423.0
Tercera,Cultura,401628852.91538006,251598606.38277513,22912.0,2326026023.0
Tercera,Defensa y seguridad,1148749347.4017587,469698867.61538464,191461.0,9109391590.0
Tercera,Deporte y Recreación,1009720839.4732552,569907971.1190476,1817921.0,7899654750.0
Tercera,"Desarrollo comunitario, comercial e industrial",334427297.4848968,201189954.7525773,8144.0,1803852192.0
Tercera,Educación,32244816826.29155,4510192295.762667,68560.0,498859461546.0
Tercera,Fortalecimiento institucional,505422304.53216577,280695196.20394737,1071000.0,4665177784.0
Tercera,Funcionamiento y pensiones,1500026928.377846,229220935.92180452,460.0,52333822910.0
Tercera,Medio ambiente,737541681.9116243,408685752.3020833,223648.0,3489129635.0
Tercera,Otros,65116452460.04477,12950011133.279936,111730.0,988073025100.0
Tercera,Salud,3658600552.1293716,1330522619.0718086,120986.0,26397625496.0
Tercera,Sector eléctrico,958518854.5817991,935351899.7777778,145567.0,3459446954.0
Tercera,Sector minero,88753339.42431103,102475614.66666667,9770000.0,186662362.0
Tercera,Servicio de la deuda,5287037811.415035,1632510564.0263157,10837004.0,32934672679.0
Tercera,Transporte,1768323152.0196772,674474128.0414507,10863.0,19279478453.0
Tercera,Vivienda,597415531.5200046,314156156.0740741,2333333.0,3684309316.0
